start,end,duration_hours
2017-02-16 02:20:00,2017-02-16 05:50:00,3.5
2017-02-18 09:05:00,2017-02-18 09:45:00,0.6666666666666666
2017-02-18 10:40:00,2017-02-18 12:55:00,2.25
2017-02-20 03:15:00,2017-02-20 04:55:00,1.6666666666666667
2017-02-20 05:55:00,2017-02-20 06:35:00,0.6666666666666666
2017-02-20 06:45:00,2017-02-20 08:25:00,1.6666666666666667
2017-02-20 08:35:00,2017-02-20 09:05:00,0.5
2017-02-20 10:30:00,2017-02-20 11:25:00,0.9166666666666666
2017-02-21 19:25:00,2017-02-21 20:00:00,0.5833333333333334
2017-02-21 23:05:00,2017-02-21 23:50:00,0.75
2017-02-22 00:15:00,2017-02-22 01:50:00,1.5833333333333333
2017-02-22 20:20:00,2017-02-22 21:45:00,1.4166666666666667
2017-02-22 22:05:00,2017-02-22 22:40:00,0.5833333333333334
2017-02-22 22:55:00,2017-02-23 01:25:00,2.5
2017-02-23 01:35:00,2017-02-23 02:40:00,1.0833333333333333
2017-02-23 05:10:00,2017-02-23 05:55:00,0.75
2017-02-23 07:55:00,2017-02-23 08:30:00,0.5833333333333334
2017-02-23 15:30:00,2017-02-23 16:30:00,1.0
2017-02-23 16:45:00,2017-02-23 17:20:00,0.5833333333333334
2017-02-23 19:50:00,2017-02-23 22:55:00,3.0833333333333335
2017-03-02 08:15:00,2017-03-02 11:25:00,3.1666666666666665
2017-03-03 09:30:00,2017-03-03 11:10:00,1.6666666666666667
2017-03-03 22:55:00,2017-03-04 00:15:00,1.3333333333333333
2017-03-04 01:55:00,2017-03-04 03:55:00,2.0
2017-03-04 04:40:00,2017-03-04 05:25:00,0.75
2017-03-04 05:40:00,2017-03-04 15:10:00,9.5
2017-03-04 15:20:00,2017-03-04 15:50:00,0.5
2017-03-05 14:40:00,2017-03-05 15:20:00,0.6666666666666666
2017-03-05 22:05:00,2017-03-05 22:35:00,0.5
2017-03-06 06:25:00,2017-03-06 07:00:00,0.5833333333333334
2017-03-06 10:10:00,2017-03-06 11:35:00,1.4166666666666667
2017-03-06 11:45:00,2017-03-06 12:15:00,0.5
2017-03-06 16:05:00,2017-03-06 17:00:00,0.9166666666666666
2017-03-06 20:20:00,2017-03-06 21:30:00,1.1666666666666667
2017-03-06 22:10:00,2017-03-06 22:50:00,0.6666666666666666
2017-03-06 23:00:00,2017-03-06 23:55:00,0.9166666666666666
2017-03-07 04:10:00,2017-03-07 04:55:00,0.75
2017-03-07 05:10:00,2017-03-07 05:40:00,0.5
2017-03-07 13:50:00,2017-03-07 14:20:00,0.5
2017-03-09 17:00:00,2017-03-09 17:40:00,0.6666666666666666
2017-03-09 20:45:00,2017-03-09 21:55:00,1.1666666666666667
2017-03-09 22:05:00,2017-03-09 22:55:00,0.8333333333333334
2017-03-10 18:35:00,2017-03-10 19:35:00,1.0
2017-03-14 05:05:00,2017-03-14 05:55:00,0.8333333333333334
2017-03-14 10:00:00,2017-03-14 10:30:00,0.5
2017-03-15 01:55:00,2017-03-15 02:55:00,1.0
2017-03-15 05:05:00,2017-03-15 06:20:00,1.25
2017-03-15 09:30:00,2017-03-15 10:10:00,0.6666666666666666
2017-03-21 01:45:00,2017-03-21 02:50:00,1.0833333333333333
2017-03-25 07:50:00,2017-03-25 09:25:00,1.5833333333333333
2017-03-25 12:15:00,2017-03-25 13:15:00,1.0
2017-03-25 20:35:00,2017-03-25 21:45:00,1.1666666666666667
2017-03-25 21:55:00,2017-03-25 22:30:00,0.5833333333333334
2017-03-26 06:50:00,2017-03-26 07:20:00,0.5
2017-03-26 08:35:00,2017-03-26 09:25:00,0.8333333333333334
2017-03-26 12:30:00,2017-03-26 13:00:00,0.5
2017-03-26 13:10:00,2017-03-26 14:50:00,1.6666666666666667
2017-04-08 09:10:00,2017-04-08 13:55:00,4.75
2017-04-09 14:30:00,2017-04-09 15:35:00,1.0833333333333333
2017-04-09 16:00:00,2017-04-09 16:45:00,0.75
2017-04-10 06:00:00,2017-04-10 06:35:00,0.5833333333333334
2017-04-10 08:00:00,2017-04-10 08:45:00,0.75
2017-04-10 11:30:00,2017-04-10 12:35:00,1.0833333333333333
2017-04-11 01:15:00,2017-04-11 01:55:00,0.6666666666666666
2017-04-11 02:20:00,2017-04-11 02:55:00,0.5833333333333334
2017-04-11 17:20:00,2017-04-11 17:50:00,0.5
2017-04-13 06:10:00,2017-04-13 06:40:00,0.5
2017-04-14 16:25:00,2017-04-14 17:10:00,0.75
2017-04-14 18:00:00,2017-04-14 18:40:00,0.6666666666666666
